date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:00	2072/2072	---M--	200	added ('OK')	image/jpeg	etag:%22f923b61d87de05d96ee32141d21c6e68%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-13.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-13.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/properties-details.html)
23:45:07	289828/289828	---M--	200	added ('OK')	image/jpeg	etag:%22356f6857028c78218448606c7959429d%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/banner-4.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/banner-4.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-5.html)
23:45:18	145429/145429	---M--	200	added ('OK')	image/png	etag:%2294f06425ac6279278dcbea32ca5924bd%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/floor-plans.png	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/floor-plans.png	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/properties-details.html)
23:45:27	136641/136641	---M--	200	added ('OK')	image/jpeg	etag:%22dc2a1882f4c4a02b92743d8c7ab1b312%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-4.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-4.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/properties-details-3.html)
23:45:44	520820/520820	---M--	200	added ('OK')	image/jpeg	etag:%22826c97041323d4ca73fbb91af39a6626%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/bg-photo-1.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/bg-photo-1.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-4.html)
23:45:45	194082/194082	---M--	200	added ('OK')	image/jpeg	etag:%2275b82d7ff7d14f41c3bddac64d2db7ed%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-7.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-7.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/properties-details-3.html)
23:45:52	135595/135595	---M--	200	added ('OK')	image/jpeg	etag:%225ac8be28c1b1151e3a0a33fdb7e35451%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/bg-photo-2.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/bg-photo-2.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/about-1.html)
23:45:58	54010/54010	---M--	200	added ('OK')	image/jpeg	etag:%22154e2622d1fb6e02e61d2f6d42c097b0%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/service-photo/service.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/service-photo/service.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/services-1.html)
23:45:58	64593/64593	---M--	200	added ('OK')	image/jpeg	etag:%22d22c8ef188f3bb9ef31d5f3176c5e513%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/service-photo/service-2.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/service-photo/service-2.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/services-1.html)
23:46:05	69364/69364	---M--	200	added ('OK')	image/jpeg	etag:%22283cb0699ec458a5b7208957a44a0cb9%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/service-photo/service-3.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/service-photo/service-3.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/services-1.html)
